Component	Tags	GOV.UK	NHS UK	ONS UK	18F	shadcn	Flowbite	SkeletonUI	IBM Carbon
Accordion		?	❌	?	?	✅	?	?	?
Action Link	#link	?	✅	?	?	❌	?	?	?
Alert	#alert	?	❌	?	?	✅	?	?	?
Alert Dialog	#alert	?	❌	?	?	✅	?	?	?
Aspect Ratio		?	❌	?	?	✅	?	?	?
Avatar		?	❌	?	?	✅	?	?	?
Back Link	#link	?	✅	?	?	❌	?	?	?
Badge		?	❌	?	?	✅	?	?	?
Breadcrumb	#nav	?	✅	?	?	✅	?	?	?
Button	#input	?	✅	?	?	✅	?	?	?
Calendar	#datetime	?	❌	?	?	✅	?	?	?
Card		?	✅	?	?	✅	?	?	?
Care Card		?	✅	?	?	❌	?	?	?
Carousel		?	❌	?	?	✅	?	?	?
Chart		?	❌	?	?	✅	?	?	?
Character	#input	?	✅	?	?	❌	?	?	?
Checkbox	#input	?	✅	?	?	✅	?	?	?
Collapsible		?	❌	?	?	✅	?	?	?
Combobox	#input	?	❌	?	?	✅	?	?	?
Command		?	❌	?	?	✅	?	?	?
Contents List	#nav list	?	✅	?	?	❌	?	?	?
Context Menu		?	❌	?	?	✅	?	?	?
Data Table	#table	?	❌	?	?	✅	?	?	?
Date Input	#time #input		✅	?	?	?	?	?	?
Date Picker	#time #input	?	❌	?	?	✅	?	?	?
Details	#content	?	✅	?	?	❌	?	?	?
Dialog		?	❌	?	?	✅	?	?	?
Do/Don't List	#content #list	?	✅	?	?	❌	?	?	?
Drawer		?	❌	?	?	✅	?	?	?
Dropdown Menu	#menu	?	❌	?	?	✅	?	?	?
Error message	#form #error	?	✅	?	?	❌	?	?	?
Error summary	#form #error	?	✅	?	?	❌	?	?	?
Expander	#layout	?	✅	?	?	❌	?	?	?
Fieldset	#form	?	✅	?	?	❌	?	?	?
Footer	#section	?	✅	?	?	❌	?	?	?
Form	#form	?	❌	?	?	✅	?	?	?
Header	#section	?	✅	?	?	❌	?	?	?
Hint text	#input	?	✅	?	?	❌	?	?	?
Hover Card	#card	?	❌	?	?	✅	?	?	?
Image	#graphics	?	✅	?	?	❌	?	?	?
Inset text	#layout	?	✅	?	?	❌	?	?	?
Input	#input	?	❌	?	?	✅	?	?	?
Input OTP	#input	?	❌	?	?	✅	?	?	?
Label	#input	?	❌	?	?	✅	?	?	?
Menubar	#menu	?	❌	?	?	✅	?	?	?
Navigation Menu	#nav #menu	?	❌	?	?	✅	?	?	?
Pagination	#nav	?	✅	?	?	✅	?	?	?
Panel	#layout	?	✅	?	?	❌	?	?	?
Popover	#help	?	❌	?	?	✅	?	?	?
Progress	#ux	?	❌	?	?	✅	?	?	?
Radio Button	#input	?	✅	?	?	❌	?	?	?
Radio Group	#input	?	❌	?	?	✅	?	?	?
Resizable	#responsive	?	❌	?	?	✅	?	?	?
Review date	#time	?	✅	?	?	❌	?	?	?
Scroll Area	#responsive	?	❌	?	?	✅	?	?	?
Select	#input	?	✅	?	?	✅	?	?	?
Separator	#layout	?	❌	?	?	✅	?	?	?
Sheet		?	❌	?	?	✅	?	?	?
Sidebar		?	❌	?	?	✅	?	?	?
Skeleton		?	❌	?	?	✅	?	?	?
Skip link	#nav #link	?	✅	?	?	❌	?	?	?
Slider	#input	?	❌	?	?	✅	?	?	?
Sonner	?	?	❌	?	?	✅	?	?	?
Summary list	#list	?	✅	?	?	❌	?	?	?
Switch	#input	?	❌	?	?	✅	?	?	?
Table	#table	?	✅	?	?	✅	?	?	?
Tabs	#nav	?	✅	?	?	✅	?	?	?
Tag	#display	?	✅	?	?	❌	?	?	?
Task list	#list	?	✅	?	?	❌	?	?	?
Textfield input	#input	?	✅	?	?	❌	?	?	?
Textarea input	#input	?	✅	?	?	✅	?	?	?
Toast	#help	?	❌	?	?	✅	?	?	?
Toggle	#input	?	❌	?	?	✅	?	?	?
Toggle Group	#input	?	❌	?	?	✅	?	?	?
Tooltip	#help	?	❌	?	?	✅	?	?	?
Warning callout	#content	?	✅	?	?	❌	?	?	?
